step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
164,4,256,960,260,0,260,0,0.26666666666666666,0.9846153846153847
165,4,256,960,280,0,280,0,0.26666666666666666,0.9142857142857143
166,4,256,1408,280,0,280,0,0.18181818181818182,0.9142857142857143
167,4,256,1408,280,0,280,0,0.18181818181818182,0.9142857142857143
168,4,256,1408,280,0,280,0,0.18181818181818182,0.9142857142857143
169,4,256,1408,300,0,300,0,0.18181818181818182,0.8533333333333334
170,4,256,1408,300,0,300,0,0.18181818181818182,0.8533333333333334
171,4,256,1408,300,0,300,0,0.18181818181818182,0.8533333333333334
172,4,256,1408,300,0,300,0,0.18181818181818182,0.8533333333333334
173,4,256,1408,320,0,320,0,0.18181818181818182,0.8
174,4,256,1408,320,0,320,0,0.18181818181818182,0.8
175,4,256,1200,320,0,320,0,0.21333333333333335,0.8
176,4,256,1120,320,0,320,0,0.22857142857142856,0.8
177,4,256,1120,320,0,320,0,0.22857142857142856,0.8
178,4,256,1120,320,0,320,0,0.22857142857142856,0.8
179,4,256,1120,320,0,320,0,0.22857142857142856,0.8
180,4,256,1120,320,0,320,0,0.22857142857142856,0.8
181,4,256,1120,320,0,320,0,0.22857142857142856,0.8
182,4,256,864,320,0,320,0,0.2962962962962963,0.8
183,3,128,864,416,4,288,3,0.14814814814814814,0.3076923076923077
184,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
185,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
186,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
187,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
188,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
189,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
190,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
191,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
192,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
193,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
194,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
195,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
196,3,128,864,288,3,288,3,0.14814814814814814,0.4444444444444444
197,4,256,864,308,3,308,3,0.2962962962962963,0.8311688311688312
198,4,256,1232,308,3,308,3,0.2077922077922078,0.8311688311688312
199,4,256,1232,308,3,308,3,0.2077922077922078,0.8311688311688312
200,4,256,1232,308,3,308,3,0.2077922077922078,0.8311688311688312
201,4,256,1232,308,3,308,3,0.2077922077922078,0.8311688311688312
202,4,256,1232,328,3,328,3,0.2077922077922078,0.7804878048780488
203,4,256,1360,328,3,328,3,0.18823529411764706,0.7804878048780488
204,4,256,1360,328,3,328,3,0.18823529411764706,0.7804878048780488
205,4,256,1360,328,3,328,3,0.18823529411764706,0.7804878048780488
206,4,256,1360,328,3,328,3,0.18823529411764706,0.7804878048780488
207,4,256,1360,348,3,348,3,0.18823529411764706,0.735632183908046
208,4,256,1360,348,3,348,3,0.18823529411764706,0.735632183908046
209,4,256,1360,348,3,348,3,0.18823529411764706,0.735632183908046
210,4,256,1360,348,3,348,3,0.18823529411764706,0.735632183908046
211,4,256,1360,348,3,348,3,0.18823529411764706,0.735632183908046
212,4,256,1360,368,3,368,3,0.18823529411764706,0.6956521739130435
213,4,256,1360,368,3,368,3,0.18823529411764706,0.6956521739130435
214,4,256,1360,368,3,368,3,0.18823529411764706,0.6956521739130435
215,4,256,1360,368,3,368,3,0.18823529411764706,0.6956521739130435
216,4,256,1360,368,3,368,3,0.18823529411764706,0.6956521739130435
217,4,256,1360,388,3,388,3,0.18823529411764706,0.6597938144329897
218,4,256,1552,388,3,388,3,0.16494845360824742,0.6597938144329897
219,4,256,1552,388,3,388,3,0.16494845360824742,0.6597938144329897
220,4,256,1552,388,3,388,3,0.16494845360824742,0.6597938144329897
221,4,256,1552,388,3,388,3,0.16494845360824742,0.6597938144329897
222,4,256,1360,388,3,388,3,0.18823529411764706,0.6597938144329897
223,4,256,1360,408,3,408,3,0.18823529411764706,0.6274509803921569
224,4,256,1360,408,3,408,3,0.18823529411764706,0.6274509803921569
225,4,256,1360,408,3,408,3,0.18823529411764706,0.6274509803921569
226,4,256,1104,408,3,408,3,0.2318840579710145,0.6274509803921569
227,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
228,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
229,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
230,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
231,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
232,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
233,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
234,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
235,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
236,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
237,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
238,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
239,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
240,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
